"","logFC","logCPM","PValue","FDR"
"ENSG00000169344",-12.6660755559795,12.2208508385917,2.0037393866248e-277,4.08642610508262e-273
"ENSG00000169550",-10.7187055020687,5.24659468619516,7.84215601071327e-218,7.99664648412432e-214
"ENSG00000070915",-9.55221308014916,7.16971186742894,2.72535862967033e-194,1.85269879644989e-190
"ENSG00000004939",-9.63138271793031,6.05104230353681,4.37531186871636e-194,2.23075275626503e-190
"ENSG00000100884",-10.2371864123875,2.08830004950953,1.30548353047236e-181,5.32480622409065e-178
"ENSG00000116218",-8.7860031357931,4.56649477563127,2.07118328613128e-170,7.03995198956024e-167
"ENSG00000279460",-10.5448835321741,0.976466795735065,1.70815749377483e-167,4.97659484686341e-164
"ENSG00000132874",-8.69741169959864,4.00870093711376,7.29207669323727e-167,1.85893265102351e-163
"ENSG00000167941",-8.91333569104446,2.33318097771694,5.86266860939573e-163,1.32848070688907e-159
"ENSG00000169347",-8.53533455401457,2.83179405774564,1.51427541516052e-158,3.08821328167837e-155
"ENSG00000086159",-8.20335378512749,4.43437882017687,8.03622180346483e-156,1.48991552236238e-152
"ENSG00000249341",-8.94377946902163,1.40825364586175,1.0491072041278e-154,1.7829576934152e-151
"ENSG00000198398",-8.29215389002112,3.04766542358821,3.39178449982473e-154,5.32092716072505e-151
"ENSG00000110680",-8.09599131886881,2.90942697222184,3.12618314574902e-149,4.55395564817183e-146
"ENSG00000104327",-7.80971036835132,6.90988818964649,6.28919889049885e-148,8.55079481152224e-145
"ENSG00000080511",-8.50083477731024,1.41713049385388,1.2128402024287e-147,1.54591644302068e-144
"ENSG00000281769",-9.01135205799676,0.654764388483451,4.88177937664332e-146,5.85641227101553e-143
"ENSG00000265460",-7.81650722534284,2.86660860832076,1.03640454115306e-142,1.17424634512641e-139
"ENSG00000173253",-7.72283190895154,3.58421035000811,1.97260931059615e-142,2.11733654106831e-139
"ENSG00000285958",-7.96727260160679,1.89446884140435,2.01569598752282e-141,2.05540519847702e-138
"ENSG00000161270",-7.51348369592961,4.7903645534592,4.0956453003927e-140,3.97745667886708e-137
"ENSG00000188175",-7.58991308286986,3.91657650772558,8.98733510899627e-140,8.33125964603954e-137
"ENSG00000168269",-7.55491983475922,3.85780809469606,8.16115542584627e-139,7.23646103281343e-136
"ENSG00000074803",-7.44961424499706,10.0553102447536,1.99802052947478e-138,1.6978179449212e-135
"ENSG00000079557",-7.58066320445984,3.23371745987695,3.2221451186854e-138,2.59204664917583e-135
"ENSG00000181418",-7.61654875133794,2.90965902017916,3.3045607962426e-138,2.59204664917583e-135
"ENSG00000249601",-7.62264097048417,2.56694000665484,3.14764753604665e-137,2.37752310556057e-134
"ENSG00000181092",-9.12199574383567,-0.0378542909429237,1.7807923628357e-136,1.29705283741683e-133
"ENSG00000173376",-7.41605440701404,4.11019691553166,1.04324110380546e-135,7.336503127934e-133
"ENSG00000165973",-7.39482881852822,4.05328230499982,4.19941512420103e-135,2.85476240143186e-132
"ENSG00000253802",-8.90818279513897,-0.242639425480396,6.53152462175799e-131,4.2969004237462e-128
"ENSG00000027644",-7.52463096618054,1.22882313117431,2.63872143696908e-128,1.68169015579836e-125
"ENSG00000266968",-7.28401959333174,1.62957263399106,9.00987017664422e-126,5.56809976916613e-123
"ENSG00000164853",-9.41639789311501,-0.820772163745607,3.86635396879964e-125,2.31913008352058e-122
"ENSG00000144227",-7.64087757988804,0.578633301267073,4.08532122235917e-125,2.38045831453694e-122
"ENSG00000146809",-7.38442925585375,1.10711104766919,9.48872523634281e-125,5.3753628463882e-122
"ENSG00000165694",-7.28060285968828,1.3202024649644,4.99908951938676e-124,2.75544409887496e-121
"ENSG00000250385",-7.56679328767445,0.37560757844755,6.60573802942377e-122,3.54519529926496e-119
"ENSG00000184672",-7.00400564379018,1.95427652596629,5.00232796388459e-121,2.61583273065288e-118
